ID4872  ==> ID0998 ID4385  #SUP: 11 #CONF: 0.8461538461538461
ID4355  ==> ID0998 ID4385  #SUP: 11 #CONF: 0.9166666666666666
ID4528  ==> ID0998 ID4385  #SUP: 11 #CONF: 0.8461538461538461
ID0998 ID4385  ==> ID4355  #SUP: 11 #CONF: 0.8461538461538461
ID0998 ID4355  ==> ID4385  #SUP: 11 #CONF: 1.0
ID0998 ID4528  ==> ID4385  #SUP: 11 #CONF: 1.0
ID0998 ID4385  ==> ID4872  #SUP: 11 #CONF: 0.8461538461538461
ID0998 ID4385  ==> ID4528  #SUP: 11 #CONF: 0.8461538461538461
ID4385 ID4355  ==> ID0998  #SUP: 11 #CONF: 1.0
ID4385 ID4872  ==> ID0998  #SUP: 11 #CONF: 1.0
ID4820  ==> ID0998 ID4385  #SUP: 12 #CONF: 0.8
ID0998  ==> ID4385 ID4820  #SUP: 12 #CONF: 0.9230769230769231
ID4385  ==> ID0998 ID4820  #SUP: 12 #CONF: 0.9230769230769231
ID0998 ID4385  ==> ID4820  #SUP: 12 #CONF: 0.9230769230769231
ID4385 ID4820  ==> ID0998  #SUP: 12 #CONF: 1.0
ID0998 ID4820  ==> ID4385  #SUP: 12 #CONF: 1.0
